/home/khanh/Projects/KhoaLuan/src/fleurs_data/unit
000000.wav	436
000001.wav	371
000002.wav	314
000003.wav	252
000004.wav	335
000005.wav	336
000006.wav	302
000007.wav	337
000008.wav	368
000009.wav	289
000010.wav	211
000011.wav	341
000012.wav	428
000013.wav	550
000014.wav	426
000015.wav	429
000016.wav	409
000017.wav	527
000018.wav	333
000019.wav	336
000020.wav	513
000021.wav	352
000022.wav	312
000023.wav	329
000024.wav	275
000025.wav	222
000026.wav	505
000027.wav	448
000028.wav	308
000029.wav	358
000030.wav	378
000031.wav	266
000032.wav	437
000033.wav	609
000034.wav	379
000035.wav	289
000036.wav	521
000037.wav	861
000038.wav	265
000039.wav	329
000040.wav	584
000041.wav	203
000042.wav	265
000043.wav	455
000044.wav	190
000045.wav	278
000046.wav	223
000047.wav	517
000048.wav	422
000049.wav	310
000050.wav	184
000051.wav	308
000052.wav	638
000053.wav	388
000054.wav	397
000055.wav	341
000056.wav	252
000057.wav	550
000058.wav	539
000059.wav	228
000060.wav	651
000061.wav	595
000062.wav	204
000063.wav	394
000064.wav	352
000065.wav	163
000066.wav	546
000067.wav	391
000068.wav	154
000069.wav	517
000070.wav	424
000071.wav	371
000072.wav	280
000073.wav	336
000074.wav	292
000075.wav	406
000076.wav	299
000077.wav	293
000078.wav	284
000079.wav	572
000080.wav	154
000081.wav	390
000082.wav	273
000083.wav	405
000084.wav	373
000085.wav	187
000086.wav	194
000087.wav	152
000088.wav	323
000089.wav	396
000090.wav	393
000091.wav	248
000092.wav	272
000093.wav	263
000094.wav	629
000095.wav	292
000096.wav	217
000097.wav	369
000098.wav	204
000099.wav	686
000100.wav	380
000101.wav	313
000102.wav	221
000103.wav	355
000104.wav	137
000105.wav	263
000106.wav	324
000107.wav	355
000108.wav	339
000109.wav	188
000110.wav	409
000111.wav	444
000112.wav	411
000113.wav	532
000114.wav	606
000115.wav	385
000116.wav	923
000117.wav	354
000118.wav	421
000119.wav	520
000120.wav	412
000121.wav	379
000122.wav	321
000123.wav	485
000124.wav	381
000125.wav	202
000126.wav	650
000127.wav	413
000128.wav	320
000129.wav	335
000130.wav	372
000131.wav	477
000132.wav	347
000133.wav	281
000134.wav	979
000135.wav	260
000136.wav	421
000137.wav	422
000138.wav	192
000139.wav	309
000140.wav	356
000141.wav	446
000142.wav	243
000143.wav	238
000144.wav	318
000145.wav	389
000146.wav	242
000147.wav	335
000148.wav	450
000149.wav	362
000150.wav	391
000151.wav	714
000152.wav	357
000153.wav	282
000154.wav	372
000155.wav	518
000156.wav	345
000157.wav	387
000158.wav	421
000159.wav	411
000160.wav	416
000161.wav	575
000162.wav	276
000163.wav	314
000164.wav	142
000165.wav	307
000166.wav	364
000167.wav	363
000168.wav	314
000169.wav	281
000170.wav	469
000171.wav	410
000172.wav	473
000173.wav	551
000174.wav	619
000175.wav	340
000176.wav	257
000177.wav	237
000178.wav	660
000179.wav	362
000180.wav	586
000181.wav	427
000182.wav	227
000183.wav	378
000184.wav	382
000185.wav	265
000186.wav	205
000187.wav	490
000188.wav	436
000189.wav	507
000190.wav	533
000191.wav	486
000192.wav	349
000193.wav	203
000194.wav	770
000195.wav	409
000196.wav	423
000197.wav	455
000198.wav	403
000199.wav	242
000200.wav	289
000201.wav	347
000202.wav	328
000203.wav	427
000204.wav	171
000205.wav	386
000206.wav	373
000207.wav	315
000208.wav	210
000209.wav	336
000210.wav	331
000211.wav	236
000212.wav	380
000213.wav	373
000214.wav	486
000215.wav	295
000216.wav	320
000217.wav	218
000218.wav	398
000219.wav	548
000220.wav	207
000221.wav	353
000222.wav	215
000223.wav	404
000224.wav	477
000225.wav	256
000226.wav	362
000227.wav	344
000228.wav	217
000229.wav	342
000230.wav	262
000231.wav	613
000232.wav	329
000233.wav	371
000234.wav	599
000235.wav	280
000236.wav	511
000237.wav	335
000238.wav	405
000239.wav	190
000240.wav	783
000241.wav	436
000242.wav	401
000243.wav	490
000244.wav	397
000245.wav	368
000246.wav	414
000247.wav	292
000248.wav	268
000249.wav	441
000250.wav	371
000251.wav	420
000252.wav	475
000253.wav	180
000254.wav	721
000255.wav	439
000256.wav	161
000257.wav	371
000258.wav	329
000259.wav	274
000260.wav	305
000261.wav	254
000262.wav	354
000263.wav	198
000264.wav	362
000265.wav	272
000266.wav	361
000267.wav	413
000268.wav	537
000269.wav	246
000270.wav	298
000271.wav	396
000272.wav	358
000273.wav	987
000274.wav	462
000275.wav	510
000276.wav	290
000277.wav	288
000278.wav	268
000279.wav	237
000280.wav	687
000281.wav	512
000282.wav	345
000283.wav	296
000284.wav	315
000285.wav	206
000286.wav	253
000287.wav	471
000288.wav	409
000289.wav	354
000290.wav	250
000291.wav	268
000292.wav	376
000293.wav	423
000294.wav	391
000295.wav	572
000296.wav	225
000297.wav	400
000298.wav	528
000299.wav	218
000300.wav	185
000301.wav	458
000302.wav	457
000303.wav	290
000304.wav	308
000305.wav	623
000306.wav	216
000307.wav	359
000308.wav	401
000309.wav	490
000310.wav	598
000311.wav	324
000312.wav	509
000313.wav	562
000314.wav	405
000315.wav	215
000316.wav	196
000317.wav	479
000318.wav	457
000319.wav	313
000320.wav	452
000321.wav	262
000322.wav	421
000323.wav	417
000324.wav	377
000325.wav	260
000326.wav	235
000327.wav	430
000328.wav	469
000329.wav	447
000330.wav	671
000331.wav	420
000332.wav	771
000333.wav	375
000334.wav	321
000335.wav	298
000336.wav	532
000337.wav	221
000338.wav	518
000339.wav	210
000340.wav	393
000341.wav	559
000342.wav	199
000343.wav	720
000344.wav	220
000345.wav	518
000346.wav	359
000347.wav	236
000348.wav	454
000349.wav	492
000350.wav	266
000351.wav	289
000352.wav	218
000353.wav	578
000354.wav	279
000355.wav	451
000356.wav	360
000357.wav	375
000358.wav	427
000359.wav	769
000360.wav	570
